,id,rank,relevant,text
53,54,2,1,Здравствуйте уважаемые разработчики Я уже давно играла в эту игру когда еще не было обновления и я была привязана к аккаунту Потом надо было обновить е но у меня не достаточно памяти было и мне пришлось удалить эту игру сейчас у меня новый телефон и я скачала игру много Навела пароль и у меня выскочило этот аккаунт уже привязан к игре попробуйте другой а у меня другого нет Игра супер но ток что мне с этим делать
54,55,5,1,Почему не засчитываются жетоны могущества так же как и обычные жетоны
55,56,4,0,Ребята подскажите долго ли добираться до уровня мастера султана
56,57,2,0,не знаете когда будит слияние серверов то есть один человек Гуково от него неприятности больше м репутации
57,58,3,1,Можете объяснить что за ошибка и как исправить не запускается игра хотя играл несколько дней
58,59,4,0,хорошее качество
59,60,4,1,Один минус я живу на Камчатке а должен играть по московскому времени котлы и другие плюхи глубокой ночью вот прикол
60,61,4,0,Моя любимая игра великолепно получилось
61,62,5,1,Здравствуйте Почему при покупке набора Сундук Красоты за рублей мне выдал ошибку повторите позже и плат ж не прош л но средства со сч та списали рублей Разберитесь пожалуйста Ошибка при получении данных с сервера
62,63,1,1,не качайте это унылое приложение графика ужасная как на денди смысла в игре нету тупо идти по сценарию и ни шагу назад глупая тыкалка
63,64,1,1,Я задолбался писать в тех поддержку в ковычках Один и тот же ответ постоянно этой функции нет в игре она ВОЗМОЖНО появится в обновлении Да вы гоните У меня есть привязка к вк и гуглу это мои привязки НО так же есть к фейсбуку а это НЕ моя привязка Как отвязать этот человек мне портит всю игру невозможно Делов же на минут но вы нифига помочь не можете Хотел удалить аккаунт да только фига с маслом Даже удалить нельзя Я столько бабла влил в эту хрень
64,65,5,1,здравствуйте игра нравится но мне не удобно так как я с казахстана а время Москвы что нибудь моджно сделать а то многое происходит ночью поздно
65,66,3,1,Как бы не говоря я скачала но она не работает все время только сеть не работает а сеть отлично работает телефон не лагает
66,67,1,0,Народ у вас как там все в порядке с головой Вы тратите реальные деньги на какие то хуевы алмазы и свитки зачем Вас разводят как овец стригут бабло а вы ожидали чего то другого У вас нет реальной жизни Здесь слишком серо и тоскливо Хочется гарем завести и выиграть какую то хуеву несуществующую битву заплатив проебав кучу бабла И потом вы ноете и возмущаетесь мол верните алмазы Сборище идиотов Не хотите терять деньги не качайте подобное игроразводилово хотя бы
67,68,5,0,классная игра
68,69,3,1,ребят сделайте нормальный перевод с турецкого на русский и обратно а также с немецкого на русский и обратно это основных языка что используются в игре и перевод крайне дикий пишут мол вы слабаки а выходит поимейте нас это я ласково написал переводчик с турецкого выдает менее приличные фразы без падежей и без смысла предложения перевод с немецкого просто не верен немецкие слова имеют несколько значений но те что выдает переводчик их нету ни в одном словаре
69,70,5,0,супер игра спасибо разработчикам
70,71,5,0,ванна крутая очевидно
71,72,2,1,Друзья сделайте что то с тех поддержкой ответа просто не дождаться уже неделю висит ошибка в достижениях а помощи ноль Общаться с вашим вежливым ботом желания нет Имейте уважение к своим игрокам Исправите проблему изменю отзыв
72,73,5,0,отличная игра
73,74,5,1,отличное приложение про Донат это бред там можно и так играть
74,75,4,1,Игра очень хорошая Но есть маленькая проблема Иногда игра вылетает А так все норм
75,76,5,1,Здравствуйте Разработчики вы работаете над моей просьбой У меня так проблема и осталось вы даже не ответили Такая маленькая проблема начинает действовать на мозги Вот как награды точки нету а как Дворцовая Кухня есть Я не против Дворцовая Кухня В последнее время у Вас в игре много богов Просмотрите пожалуйста Если я Вам накапал на мозги напишите я удалю игру забудемся Сори Доброго времени суток
76,77,4,1,Можно добавить новых наложниц
77,78,1,1,Прошел месяц а проблему не исправили Прошлый отзыв был удал н без моего согласия
78,79,1,1,сервер прошел месяц с первой меж серверной битвы за ошибку никто не извинился ничего не объяснил и не возместил
79,80,1,1,Игровые чаты никак не контролируются и не модерируются из за чего в них постоянно стоит не просто срачь а регулярно нарушается закон и сеется ненависть
80,81,1,1,Удаляют комментарии И я бы забыла о нем если бы не реклама которая вылазит каждые минут из каждой дырки при том что реклама вообще не соответствует игре
81,82,1,1,Отвратительно Никакой компенсации игрокам за потраченные средства в великом сражении зря потрачено огромное количество ресурсов никто толком не объяснил правила вс и игроки пытались выяснить правила в ходе битвы что ни у кого не получилось потому что этот ивент вышел в свет абсолютно сырой и с огромным количеством багов
82,83,1,1,Увы и ах Игра сплошной Донат промеж серверную битву вообще молчу
83,84,3,1,после обновления игра стала не в полноэкранном режиме скажите что делать
84,85,5,1,Пока только начала играть мне нравиться целый день сижу
85,86,5,1,Добрый день игра самая лучшая но не хватает несколько ступень в совете наложниц Калфа Пейк Хазнедар Султан Госпажа или Султанша Валиде султан и сделайте чтоб можно было с детьми обращаться которые вышли замуж женились чтоб были внуки
86,87,5,1,Игра нравится спокойная интересная Не надо выполнять задания на время что очень радует Красивая графика
87,88,1,1,па причине не так как в рекламе
88,89,5,1,Очень хорошая игра которая не стоит на месте а развивается Да у разработчиков бывают проколы но только по началу какой то новой мини игры и то иногда И им важны игроки А так в целом это интересная насыщенная и динамичная в плане общения альянсов
89,90,1,1,Весит ваша убогая реклама на если хотите продвигать ваш продукт так сделайте это более приятно для глаза а не то убожество что сейчас
90,91,1,1,что делать если у меня не заходит в игру
91,92,1,0,мне тут скучно понимаете ведь когда на все эти вещи вс тратятся мне бы хотел чтобы вы создали мод хотя бы для этой версии это скучно нужно трудиться трудиться трудиться ты трудишься этому нужна или этому разорв тся когда тело будешь делать так что я бы сказал игра хорошая но очень сложная я бы хотела что то похожее яра серверная и скучная потому я хотел бы чтобы вы создали мод для интереса что мне чтобы людям не скучать хотя бы здесь могут играть дети и будет скучно у вас будет мало скачиваний
92,93,5,1,Игра класс но скачивается долго это минус
93,94,1,1,разработчики я столько денег вкинула в игру а меня сегодня вы просто заблокировали как так то и повторно я его скачать не могу и пишет что устройство заблокировано Дата
94,95,5,1,почему когда я пытаюсь загрузить игру мне пишет устройство заблокировано Реконнент
95,96,2,1,Ставлю двойку Не интересно скучно очень очень долго всего ждать Да и не так как в рекламе ну а так в целом нормально
96,97,4,1,После последнего обновления играть стало невозможно Все время выбивает Исправьте пожалуйста А так игра норм Особенно мне нравиться кухня Там столько можно заработать
97,98,5,1,хорошая игра мне очень понравилась живое общение и увлеченность ростом персонажа это помогает убить свободное время отвлечься
98,99,4,1,Игра хорошая Однако есть одно но из за которого я игре снижаю оценку она не соответствует рекламе И реклама привлекает в игру людей которым стратегия не сдалась они ищут другое Интерактивную историю например или банальный симулятор свиданий По рекламе можно ожидать данные жанры А что из этих ожиданий оправдывается Ни че го
99,100,5,0,Доброго времени суток хотелось бы узнать требуются ли вам еще бета тестеры игры
100,101,5,1,доработайте хотя б флажки в альянсах многие игроки с Казахстана и СНГ почему я не могу создать ал с нашим флагом потом если вступаешь в ал идет рассмотрение надо что б была кнопка отмены передумал долго рассматривают отменил вступление А еще мало разнообразия акции не спасают от скучного Гемпеля если хотите узнать мнение или предложение пишите на эту почту
101,102,1,1,Отлично Прошлый отзыв мой был благополучно удал н Так вот я буду каждый день писать вам козлы Поставила свитков на умопомрачительную межсерверную битву а по итогу не получила никакой компенсации Просто топ Не скачивайте игру ребята потому что разработчики не ценят вас даже если вы тратите много много денег на игру Обещали компенсации за свои косяки для всех участников межсерверной битвы а по итогу возврат сделали только Остальных бортанули Спасибо
102,103,4,1,Пожалуйста измените наложницу Дафна она выглядит просто ужасно и мы уже столько играем можно было бы и добавить новых наложницу которых можно получить на прогулке или хотя бы новых наследников
103,104,3,1,Как я поняла то вы отгавариваетесь всего лишь двумя словами Добрый день Конпенсации согласно потрачиным ресурсам были отправлены на почту Спасибо за поддержку Так вот я потому же адресу Я со своим альянсом перешла на новую битву как что то произошло и вы в итоге ничего не конпесировали ну я задонатилась и опять произош л какой то баг из за которого у меня пропали все Я написала в техподдержку и в итоге мне нечего не конпенсировали И вот только попробуйте отговориться что все на почте
104,105,1,1,Просто свинское отношение к игрокам ивенты добавляют и убирают без предупреждения все обновы сырые с кучей недоделок и багов Жалею о потраченных деньгах и времени
105,106,2,1,нехватет вещи чтобы сбрасывать обаяние и близость у наложенницы допустим за алмазов карта которая сбросит обаяния и близости и вернет в виде серьги и прочего ибо многих наложенниц прокочала все дети высокие и кольца не уходят рейтинг опыта наложенниц бесполезная хрень лучше бы сделали рейтинг опыта эвентов хотя бы мотивировали заходить великая битва та еще хрень банкеты бы снова ограничили а то никогда так не накопишь сделайте чтоб в флоте было видно когда заходил игрок
106,107,5,1,Здравствуйте дорогие разработчики спасибо вам за эту игру она реально кл Ваня Я хотела спросить мне купили новый телефон попыталась скачать игру и забить тоже имя что у меня в моей игре но у меня все равно началась ноВаня игра что делать Я не хочу бросать старую игру так как хорошо прокачалась Заранее спасибо
107,108,1,0,создайте сервер только для донатеров пусть там письками меряются либо сервак где нет доната хоть один вся игра лишь для того что бы бабки высасать
108,109,3,1,терпеть не могу игры где первые минут я не могу сделать ничего кроме как тыкать туда куда показывает мне учитель я даже музыку лишнюю отключить не могу просто потому что вы решили что мне и так норм снесла сразу как поставила
109,110,1,0,скачала только чтобы написать как меня бесит ваша реклама с этими убогими звуками кто вообще играет в эти картинки создатели великие умы
110,111,5,0,Приветвсеммиретелефоншколуальбомнизоченьоеопипгтрщмепакт
111,112,1,0,Не качайте этот шлак
112,113,1,1,Подача игры лютый бред Вы хоть следите за рекламой ВЕЗДЕ ОНА Но черт бы с ней но в ней просто позорные ошибки
113,114,1,0,фу какая игра отвратителная я толка начила и тут игра сама сабой выключается уже раз кто создол эту тупую игру эта игра проста тупое отвротителное если не умеете создавать игры то и не создавай юте льжытсый придурки говнюки фу
114,115,1,0,не очень
115,116,5,0,Я не знаю как Саве сказать что я его люблю
116,117,1,0,Может вы мне ответите
117,118,1,1,Ввели Дворцовую кухню где котел заканчивает свою готовку в полночь по времени Москвы Уважаемые разработчики у нас существует не только часовой пояс с московским временем но и другие часовые пояса где полночь Москвы равна другому времени суток например как у меня середина ночи Я вложила алмазы чтоб получить больше наград с этого котла а что в итоге Акция котла закончилась и все не успел за минут Твои проблемы Ни наград ничего ты уже не получишь Исправляйте и компенсируйте
118,119,5,0,Игра супер
119,120,5,0,советую всем
120,121,4,0,просто вау
121,122,3,0,Игра так себе я смог завести лишь одну девушку
122,123,1,0,ужас это скучно и нудно
123,124,1,1,Игра становиться все хуже нововведения не ориентированы на игроков и убивают атмосферу игры Великое сражение Дворцовая кухня вызвали шквал негодования и аргументированного недовольства А руководство паблика во вконтакте просто проявляет пассивную агрессию и предпочитает не замечать негативных отзывов
124,125,1,0,Игра для даунов одним словом д
125,126,5,0,мне нравится это игра
126,127,3,0,Сулейман султан
127,128,1,0,вообще не понравился
128,129,5,0,Классная игра всем советую
129,130,1,0,Донат и не более смысла нет играть
130,131,1,0,не стоит времени
131,132,3,0,Чем дальше тем больше нужен Донат
132,133,1,0,Такая крутая игра
133,134,1,0,Полная дрянь
134,135,3,0,Хотелось спи знать что то этакое да тут за меня уже все высказали
135,136,3,0,И это для маленьких детей До вас не докатывает что вся реклама сделана В сексуальном характере
136,137,1,0,Донат
137,138,2,1,Задумка игры неплохая Но баги и зависания портят все впечатление Поддержка вообще шлак Влил в акцию кучу алмазов а она не только не соответствует описанию но и не работает в принципе в поддержку обращаться нет смысла игнорят
138,139,5,0,но дорого хотя можно и без Доната
139,140,1,0,тупая игра
140,141,1,0,ваще не кончает
141,142,1,0,я невинна не понимаю что происходит
142,143,1,0,Им лучше не платить Играйте бесплатно
143,144,1,0,ЛОХОТРОН РАЗРАБОТЧИК МОЖНО БЫЛО БЫ ПОСТАВИТЬ НОЛЬ ЗВЕЗД ПОСТАВИЛА БЫ ДЕРЬМО
144,145,1,1,Не ну я так не играю Реклама наводит на мысль о том что целый день будешь по дворцу шляться и наложниц брюхахить А тут на войну сходи денег своих за скилзы отдай Хрен дожд тесь
145,146,1,0,У нас жена за такое убивает Лиза г Кривой Рог
146,147,5,0,Мне игра понравилась и Храм любви
147,148,1,0,Без Доната делать нечего
148,149,1,0,где пушка с призами
149,150,5,0,игра огонь затягивает
150,151,5,0,я в восторге очень довольна
151,152,1,0,Самая тупая игра если вы одноклеточный однозначно рекомендую
152,153,1,0,Ужасная игра не скачивайте пустая трата времени
153,154,1,0,скучновато что то
154,155,5,0,крутое приложение Очень
155,156,5,0,это приложение прелесть ставлю балов
156,157,1,0,мне нравится больше сказать не чего
157,158,1,0,Мне не понравилось
158,159,5,0,Топ игра про османскую империю
159,160,4,1,В последнее время игра начала часто вылетать Играешь себе никому не мешаешь у тебя есть все бустеры и тут просто закрывается игра При следующем входе уровень начинается заново а бустеров уже нет Исправьте пожалуйста этот недостаток И вс будет прекрасно
160,161,2,1,Недовольна последним обновлением Союзов нет Зачем то опять изменили прием жизней от друзей Я не всегда хочу принимать сразу Иногда до автоматического восстановления остается минуты иногда победа приносит бесконечные жизни Верните пожалуйста возможность принимать жизни по одной Или пусть бесконечные жизни не включаются автоматически
161,162,1,1,Игра супер очень нравится восстановленные участки очень красивые каждый участок радует своим изяществом красотой Даже думать не хочу что эта удивительная игра когда то закончится Спасибо за доставляемое удовольствие все нравится даже самый тяж алый уровень сначала бесит а потом такое облегчение когда он наконец то покоряется Спасибо вам
162,163,1,1,Что изменилось после обновления Да ничего по факту как не проходились уровни так и не проходятся только надо вкладывать денежки и вс я и так уже потратила деньги теперь хотят чтобы каждый непройденный уровень оплачивался Как и многие прохожу уровни по дня терпение на исходе жалко удалять так как почти уровень но видимо придется обратите внимание на требования игроков зажрались совсем
163,164,5,1,Игра супер но много сложных уровней и мало жизней Ходов тоже маловато дается в сложных уровнях Иногда не хватает всего одного хода очень обидно Можно давать дополнительные ходы например за просмотр видео Хочется быстрей строить сад а приходится пол дня проходить один и тот же уровень Надоедает и пропадает интерес играть
164,165,1,1,Слишком сложные уровни стали бесит наверное удалю уже надоело Один уровень можно по дня мутузить бесполезно тренировки собаки ушли практически короче гамно какое то началось отписка
165,166,5,1,Залипла Достаточно сложно что бы было интересно и посильно Играю с удовольствием Хотелось бы ночной режим что бы хоть увидеть как горят фонари по ночам прогулку по ночному саду и возможность находится в саду с другого ракурса
166,167,1,0,донатить на тетрис пусть и красивый нет уж не дождетесь а именно этого игра и требует почти с первых уровней сейф например на денек убить время пойдет за вымагательство ставлю
167,168,5,0,Отличная игра Затягивает Графика Один минус лично для меня сообщество и остальные преимущества только через Фейсбук Я там не зарегистрирована
168,169,3,1,Это катастрофа Разработчики Сделайте что нибудь чтобы игра не вылетала постоянно Обидно когда набрал много бустеров доиграл уровень до последнего хода появилось сообщение Все задания выполнены и бац игра вылетает И ты заново начинаешь уровень но уже без бустеров А после сегодняшнего обновления игра вылетает даже не доиграв до последнего хода Просто п ц
169,170,4,1,у меня не получается посмотреть чем занимается Остин когда я не играю и следовательно я не получаю вознаграждение Некоторые уровни практически невозможно пройти без бустеров и если ты их не имеешь то это тупик
170,171,4,1,очень нравится но если б не задания такие как покормить собаку или достать вертолет или найти шляпу или например полив цветка несколько раз и за каждый полив две звезды а еще у меня бесконечность жизни было аж на девять с половиной часов я не могу столько без перерыва играть сделали бы чтоб их оставлять а потом знаешь что мин или часа сможешь играть и выбираешь ты же все равно их выиграл а так они сгорают
171,172,3,1,я если честно в шоке не давно игра вылетела и началась с нуля я была на уровне пыталась удалить и скачать заново раз игра до этой ситуации была просто бомба обидно верните игру с того момента с какого я остановилась а то как то за год что я играла заново не охота начинать
172,173,5,1,Классная игра но иногда попадается уровень который по несколько дней приходишь Новое обновление интересное игра более красочная стала
173,174,5,1,Игра хорошая интересная только я уже третий день не могу починить источник
174,175,4,1,интересная игра но хотелось бы использовать дополнительное время в удобное для игрока время
175,176,2,1,Раньше игра приносила удовольствие и уровни можно было пройти опираясь на опыт и умения Теперь каждый день нужно тратить время чтобы соревноваться в состязаниях На одном уровне можно застрять на пару дней т к игра умышленно не да т его пройти Но стоит купить моменты или еще какой пакет вс начинает складываться и проходиться само собой Разочарование
176,177,1,0,до уровня все хорошо а потом покупай
177,178,1,0,туфта галимая
178,179,5,1,Мне нравится локаций много красивая графика Если сравнивать с другими играми жизни восстанавливается быстро Цены на дополнительные услуги адекватные
179,180,4,1,Игра хороша но могли бы добавить ходов на уровни т к прям очевидно не хватает хода и тебя вынуждают тратить либо золото либо бустеры либо жизни т е сводится к Доната дня на уровне такое себе поэтому
180,181,5,1,уровень вообще не пройти уже неделю пытаюсь
181,182,1,1,На уровнях и выше теперь невозможно вырастить цветок проходятся несколько уровней из сундуки и шляпы не открываются т к после каждого пройденного уровня проигрыш в соревновании урожай яблоки не соберешь поэтому и бустеров нет в соревновании пройди уровень с первого раза тоже самое уровней это много придумали какие то союзы для чего обмениваться жизнями если уровни не проходятся ничего толкового с каждым обновлением не появляется мнение и пожелания игроков не учитывается
182,183,3,1,Персонажи очень много общаются между собой это немного раздражает и почему у Вас очень частые обновления засоряет память телефона а так игра очень даже классная
183,184,4,0,Видео не соответствует тому что действительно в игре и сложная детям не подойду т
184,185,3,1,Авторы предлагают тематические украшения к праздникам Мило но праздники проходят а декор остается До сих пор не могу избавиться от Новогодних украшений и елки
185,186,1,1,игра слишком переусложнена необоснованная сложность прохождения многих уровней в процессе прохождения не отдыхаешь а напрягаешься
186,187,3,1,пропал цветок для оранжереи появляется в событиях что появится через предел Ное время но потом пропадает
187,188,2,1,Не дают пройти сложные уровни в частности только пройден один уровень застреваешь на другом опять не пройти на этот раз уровень ну сколько можно опять ступор на уровне пройти не возможно попыток уже было это кошмар ходов в раза меньше чем необходимо сами попробуйте пройти умники что за ерунда ходов а собрать кристаллов это нереально ни черта вам не жаль
188,189,5,1,Здравствуйте это просто кошмар С каждым обновлением все хуже и хуже невозможно играть на одном уровне сидишь по три дня Уважаемые разработчики игра должна приносить удовольствие а не раздражать
189,190,2,1,Не дают пройти сложные уровни в частности только пройден один уровень застреваешь на другом опять не пройти на этот раз уровень ну сколько можно опять ступор на уровне пройти не возможно попыток уже было это кошмар ходов в раза меньше чем необходимо сами попробуйте пройти умники что за ерунда ходов а собрать кристаллов это нереально ни черта вам не жаль
190,191,5,1,интересная игра спокойная ни как ферма в которой сажаешь или кормишь животных по времени тут все просто поиграл устал и беззаботно вышел из игры и отдыхаешь
191,192,1,1,играю все реже и реже на уровне выиграть в конкурсе практически невозможно поэтому бустеры достаются очень сложно и вот сегодня впервые за год выпал джек пот однако когда зашла в игру через полчаса ни бустеров ни времени ни колеса удачи не оказалось интересно что бустеры только пропадают но никогда случайно не добавляются чем дальше тем меньше интереса играть а так хорошо все начиналось играю почти года жаль игра красивая но слишком много неприятных моментов
192,193,1,1,игра отличная уже долго в нее играю но БЕСЯТ уровни которые надо проходить по дней потому что не дает выиграть уже много раз было желание снести к ч рту игру потому что играю в нее чтобы отвлечься или свободное время убить а получается что выхватываешь нервоз и заканчиваешь играть за несколько минут т к жизни заканчиваются
193,194,3,1,Обновление загрузилось но союзов как не было так и нет Некоторые уровни невозможно пройти без бустеров и денег прич м не факт что хватит того что у вас было Общее впечатление игрушка залипательная уровни интересные так же как и участки
194,195,1,1,Сначала игра понравилась Потом около уровня рандом стал совсем тупой такое ощущение что играющий против тебя возможно после обновления с этим тоже совпало То что обещают в рекламе про коня так и не дождался
195,196,1,1,Удалил Неделю мучить один уровень это слишком Для прохождения нужно было купить бонусы Идея хорошая исполнение плохое Игра не должна быть такой сложной
196,197,2,1,К сожалению дойдя до уровня Стало ясно что игра хочешь не хочешь а вынуждает вас тратить на не деньги ведь пройти е без каких то вспомогательных штучек практически равны нулю я вроде не глупая и соображаю но ребят нельзя же быть уж такими алчными можно было дать народу шанс поиграть самим хотя бы до уровней я понимаю в игру вложены труды Но либо делайте е платной к скачке и больше шансов играть либо открыто говорите что она бесплатная чисто номинально для завлекалочки
197,198,1,1,Зачем такие сложные уровни Игра раздражает Удовольствие не получаешь Интересно создавать новый сад менять дизайн а не упираться в тупые не решаемые головоломки Да и от решения ни чего не зависит На второй третий день просто появляются всесильные бомбы которые вс решают Но эти три для ты бестолку тупо нажимаешь кнопочки раз за разом Разработчики это прежде всего РАЗВЛЕКАТЕЛЬНАЯ игра
198,199,4,1,Появился минус после обновлений добавления союзов Игра стала вылетать Перезапускаю а жизни потеряны Почините игру пожалуйста
199,200,2,1,Игра в принципе интересная НО Она заточена только на получения денег от игроков Игра просто не дает ничего сделать по пол дня В дополнение Я не засылаю Донат И в итоге уровни действительно проходятся но на отдельные уровни тратится от до дней а потом как ни в чем не бывало игра сама все разбивает и собирает Особенно когда появляются бесконечная жизнь игру можно закрывать
200,201,1,1,почему пишет интернет надо хотя интернет работает и не загружается что за ерунда идет загрузка пишет а не загружается
201,202,5,0,норм убить время ожидания
202,203,5,0,игра очень классная
203,204,5,0,Залипательно очень
204,205,5,0,очень крутая игра
205,206,5,0,все отлично
206,207,5,0,Хорошие персонажи приятная графика и простая механика в ряд пленили меня и полностью сожрали свободное время
207,208,5,0,вс прикольно
208,209,4,1,отличная игра тока слишком часто запрашивает обновления
209,210,3,0,просят написать отзыв
210,211,5,1,приятная игра иной раз сложная но в меру Донат не сильно требуется для прохождения
211,212,5,1,интересная игра для людей всех возрастов спокойная
212,213,5,0,игра очень нравится
213,214,1,1,игра хорошая но нервы нужны крепкие Пока терплю но это пока просто жалко прогресс терять Бустеры не помогают банкнот безумно мало дают и цены на украшения дорогие Снизьте пожалуйста
214,215,5,0,Кл вая игруха
215,216,5,0,прям отдыхаю
216,217,5,0,игра прикольная но сложновато
217,218,5,1,что с игрой второй день не могу зайти в игру вылетает
