id;rank;relevant;text
15;	1; 0;	за рекламу 1 звезда.
16;	1; 0;	Деньговыжималка
17;	5; 0;	просто класс
18;	5; 1;	Игра офигенная! Большое спасибо разработчикам за эту классную игру!
19;	1; 1;	Просто кошмар. Я пыталась скачать игру несколько раз в течении месяца. И все пишет ошибка. Я выполнила все что советовал Гугл. Перезапускала устройство, очищала кэш, и стерала данные Play Маркета. Ничего не помогает. А я очень хочу поиграть в эту игру!!!!
20;	5; 1;	Игра супер!!!!! Всем советую её скачать
21;	3; 0;	Как взломать игру?
22;	1;	1;	Если вы обнавляете игру, то будте любезны сделать так что бы обновили игру все игроки а не избранные. Не красиво с вашей стороны получается, и сколько будут ждать обновление другие игроки не известно. " КРУТО БЛИН ЧТО ТУТ СКАЖЕШЬ" НЕ УМЕЕТЕ РАЗРАБАТЫВАТЬ ИГРЫ НЕ БЕРИТЕСЬ.
23;	5;	1;	здравствуйте не могу зайти в игру, начинает загружаться и сразу выкидывает,подскажите что делать?
24;	4;	1;	вполне классный игр. Разработчики спасибо вам большое. Но есть минус: сложно получить ресурсы. А так все хорошо
25;	1;	1;	после 5 часов игры делать нечего постоянно нужно чего то ждать или донатить, интерес на второй день пропадает досвиданье
26;	5;	1;	Ну это совсем уже не смешно! Я честный игрок, доначу, трачу свои кровные деньги. Вы делаете сырую обнову и запускаете все сервера. Дикий баг... Мы альянсом, следуя вашим указаниям и правилам, вливаем более 40 000 алмазов в защиту замка, покупаем свитки.. Ради чего!? Чтоб играть в системе "а у нас все наоборот". Вы прислали компенсацию, так вот она мне не интересна, ибо я хочу вернуть назад, свои потраченные ресурсы! Спасибо за "шикарную" битву.
27;	5;	0;	ужасно , рекламма полностью не соотвевствует игре
28;	5;	0;	Спасибо разработчикам, прикольная
29;	5;	0;	Великолепная игра. Скачала ее из-за назойливой рекламы. Не пожалела. То, что показано в рекламе не является действительным. Игра куда интересней. Всем советую.
30;	3;	1;	Игра замечательная, но у меня сегодня пропали покупки, деньги списались, а в игре ничего не дали((( что делать?
31;	4;	0;	Много надуривания
32;	1;	1;	Надоела за час, объясню причину, я понял что качать надо будет очень долго после того как увидел замедление поставок золота продуктов и войска
33;	1;	0;	Ужас из этой игры мне надо удалять Вацап.
34;	1;	0;	слишком много доната, игра не совпадает с рекламой, зачем врать?
35;	1;	1;	уберите акцию руины только донатерам и везет бесит зачем руины вообще когда донатеры и забирают ?
36;	2;	0	; фуууууу ууууууу ууууу…
37;	5;	1;	Не знаете ли как можно менять пол.Я несколько раз удоляла игру и опять скачивала но никак не смогла.Пожалуйста сделайте так что бы когда играла можно было бы сменять пол хоть один раз.
38;	1;	0;	Ужасна игра
39;	5;	1;	Очень классная игра, сначала думала, что не пойму как играть, но затем разобравшись, стала играть в нее каждый день по Ооочень много времени Короче, игра очень классная, скачивайте и играйте)
40;	1;	1;	боже...какая убогая игра __только обучение чего стоит...много трёпа и ничего по делу. в общем нудно и не интересно. чтобы общаться в чате нужен какой-то титул...втф? вы серьезно?______ это фиаско!!
41;	5;	1;	Самая лучшая игра в мире!
42;	4;	1;	нашла для себя неприятный момент. накопить одежду на советников особенно высокого ранга очень трудно, например сейчас повысила одного советника до 350 уровня а повысить ему ранг не могу, нужна подходящая одежда, зато медалей бесстрашия накопила 10 штук, мне их щас солить што ли?))))) побольше бы одежды давали за рейты, а то ну реально мало. если за 1е место до которого хрен доберешся дают 64 комплектов,а за 2е-48, то за попадание хотя бы в десятку уже 12. ШТО за перекос такой ????
43;	4;	0;	Игра просто супер!
44;	5;	1;	здраствуйте у меня вопрос по игре. Я получила ключ, написанно, что он для древнего сундука. Где взять этот сундук??????? помогите разобраться
45;	5;	0;	игра очень классная
46;	5;	1;	мне это игра очень понравилось
47;	1;	1;	Все было нормально, пока не началась великая битва. Какой там творился кошмар, писали многие игроки, повторяться не буду. от себя хочу добавить, что обещанную компенсацию за проблемы с битвой я так и не получила. Надеюсь, другим повезло больше и их админы не обошли вниманием. Отписываются для галочки и все. Как до вас докричаться? Верните алмазы!!!
48;	5;	1;	Добрый день дорогие разработчики произошёл баг был очень расстроен мои воины стояли на месте из за этого я потерял свои ресурсы ставлю 5 с наметом на то что вы сделаете компенсацию за ваши баги
49;	1;	0;	почему не скачиваются игра
50;	5;	0;	офегенная игра!но я хотела бы чтобы вы сделали роман не 1 раз а 6 раз в месяц.а так игра классная. настя,11 лет
51;	5;	0;	оно офигенное!но сейчас оно даже не качается!!!!!
52;	1;	0;	одним словом ужасно
53;	1;	0;игра тупая на самом деле там вообще ничего нету!!!
54;	2;	1;	Здравствуйте уважаемые разработчики. Я уже давно играла в эту игру, когда ещё не было обновления и я была привязана к аккаунту. Потом надо было обновить её, но у меня не достаточно памяти было и мне пришлось удалить эту игру, сейчас у меня новый телефон и я скачала игру сного... Навела полорь и у меня выскочило: этот аккаунт уже привязан к игре, попробуйте другой, а у меня другого нет. Игра супер, но ток, что мне с этим делать?
55;	5;	1;	Почему не засчитываются жетоны могущества так же как и обычные жетоны?
56;	4; 0;	Ребята,подскажите долго ли добираться до 2 уровня мастера султана?
57;	2;	0;	не знаете когда будит слияние серверов ато есть один человек уково отнего неприятности больше 500м репутации
58;	3;	1;	Можете объяснить что за ошибка и как исправить,не запускается игра,хотя играл несколько дней
59;	4;	0;	хорошее качество
60;	4;	1;	Один минус я живу на Камчатке а должен играть по московскому времени котлы и другие плюхи глубокой ночью вот прикол.
61;	4;	0;	Моя любимая игра,великолепно получилось
62;	5;	1;	Здравствуйте! Почему при покупке набора Сундук Красоты I за 75 рублей, мне выдал ошибку повторите позже и платёж не прошёл, но средства со счёта списали 75 рублей? Разберитесь пожалуйста! Ошибка при получении данных с сервера: DF-DFERH-01
63;	1;	1;	не качайте это унылое приложение, графика ужасная как на денди, смысла в игре нету, тупо идти по сценарию и ни шагу назад, глупая тыкалка.
64;	1;	1;	Я задолбался писать в тех.поддержку в ковычках. Один и тот же ответ постоянно , этой функции нет в игре , она ВОЗМОЖНО появится в обновлении. Да вы гоните!!! У меня есть привязка к вк и гуглу , это мои привязки НО , так же есть к фейсбуку , а это НЕ моя привязка. Как отвязать ????? этот человек мне портит всю игру , невозможно!!!!! Делов же на 5минут , но вы нифига помочь не можете. Хотел удалить аккаунт , да только фига с маслом!!!!! Даже удалить нельзя!!! Я столько бабла влил в эту хрень!!!!!
65;	5;	1;	здравствуйте игра нравится, но мне не удобно так как я с казахстана, а время Москвы , что нибудь моджно сделать , а то многое происходит ночью поздно ?
66;	3;	1;	Как бы не говоря я скачала но она не работает, все время только сеть не работает, а сеть отлично работает, телефон не лагает
67;	1;	0;	Народ, у вас как там, все в порядке с головой? Вы тратите реальные деньги на какие-то хуевы алмазы и свитки, зачем??? Вас разводят как овец, стригут бабло, а вы ожидали чего-то другого??? У вас нет реальной жизни? Здесь слишком серо и тоскливо? Хочется гарем завести и выиграть какую-то хуеву несуществующую битву, заплатив (проебав) кучу бабла??? И потом вы ноете и возмущаетесь, мол, верните алмазы... Сборище идиотов. Не хотите терять деньги - не качайте подобное игроразводилово, хотя бы.
68;	5;	0;	классная игра
69;	3;	1;	ребят, сделайте нормальный перевод с турецкого на русский и обратно, а также с немецкого на русский и обратно, это 3 основных языка, что используются в игре, и перевод крайне дикий!!! пишут мол вы слабаки, а выходит, - поимейте нас, это я ласково написал, переводчик с турецкого выдает менее приличные фразы, без падежей, и без смысла предложения! перевод с немецкого просто не верен, немецкие слова имеют несколько значений, но те, что выдает переводчик, их нету ни в одном словаре!
70;	5;	0;	супер игра. спасибо разработчикам!)))
71;	5;	0;	вана крутая очевидно
72;	2;	1;	Друзья сделайте что-то с тех поддержкой, ответа просто не дождаться, уже неделю висит ошибка в достижениях, а помощи ноль. Общаться с вашим вежливым ботом желания нет. Имейте уважение к своим игрокам. Исправите проблему - изменю отзыв.
73;	5;	0;	отличная игра
74;	5;	1;	отличное приложение. про донат это бред, там можно и так играть
75;	4;	1;	Игра очень хорошая . Но есть маленькая проблема. Иногда игра вылетает . А так все норм.
76;	5;	1; Здравствуйте! Разработчики , вы работаете над моей просьбой? У меня так проблема и осталось, вы даже не ответили. Такая маленькая проблема начинает действовать на мозги. Вот как награды точки нету, а как " Дворцовая Кухня" есть.? Я не против " Дворцовая Кухня"! В последнее время у Вас , в игре много багов! Просмотрите пожалуйста! Если я Вам накапал на мозги, напишите , я удолю игру, забудемся. Сорри ________. Доброго времени суток!
77;	4;	1;	Можно добавить новых наложниц?
78;	1;	1;	Прошел месяц а проблему не исправили. Прошлый отзыв был удалён без моего согласия.
79;	1;	1;	276 сервер, прошел месяц с первой межсерверной битвы, за ошибку никто не извинился, ничего не обьяснил и не возместил.
80;	1;	1;	Игровые чаты никак не контролируются и не модерируются из за чего в них постоянно стоит не просто срачь, а регулярно нарушается закон и сеется ненависть.
81;	1;	1; Удаляют комментарии. И я бы забыла о нем, если бы не реклама, которая вылазит каждые 15 минут из каждой дырки. при том, что реклама вообще не соответствует игре.
82;	1; 1;	Отвратительно. Никакой компенсации игрокам за потраченные средства в великом сражении, зря потрачено огромное количество ресурсов... никто толком не объяснил правила вс и игроки пытались выяснить правила в ходе битвы, что ни у кого не получилось, потому что этот ивент вышел в свет абсолютно сырой и с огромным количеством багов
83;	1;	1;	Увы и ах. Игра сплошной донат, про межсерверную битву вообще молчу.
84;	3;	1;	после обновления игра стала не в полноэкранном режиме,скажите что делать
85;	5;	1;	Пока только начала играть, мне нравиться целый день сижу)))
86;	5;	1;	Добрый день, игра самая лучшая....но не хватает несколько ступень в совете наложниц (Калфа,Пейк,Хазнедар,Султан(Госпажа или Султанша),Валиде султан.)...и сделайте чтоб можно было с детьми обращаться которые вышли замуж/женились...чтоб были внуки
87;	5;	1;	Игра нравится,спокойная интересная. Не надо выполнять задания на время,что очень радует! Красивая графика!
88;	1;	1;	па причине не так как в рекламе
89;	5;	1;	Очень хорошая игра, которая не стоит на месте, а развивается. Да у разработчиков бывают проколы, но только по началу какой то новой мини игры и то иногда. И им важны игроки. А так в целом это интересная, насыщенная и динамичная в плане общения, альянсов.
90;	1;	1;	Десит ваша убогая реклама на YouTube, если хотите продвигать ваш продукт, так.сделайте это более приятно для глаза, а не то убожество что сейчас
91;	1;	1;	что делать если у меня не заходит в игру?
92;	1;	0; мне тут скучно понимаете ведь когда на все эти вещи всё тратятся мне бы хотел чтобы вы создали мод хотя бы для этой версии это скучно нужно трудиться трудиться трудиться ты трудишься этому нужна или этому разорвётся когда тело будешь делать так что я бы сказал игра хорошая но очень сложная я бы хотела что-то похожее яра серверная и скучная потому я хотел бы чтобы вы создали мод для интереса что мне чтобы людям не скучать хотя бы здесь могут играть дети и будет скучно у вас будет мало скачиваний
93;	5;	1;	Игра класс но скачиваетя долго это минум
94;	1;	1;	разработчики , я столько денег вкинула в игру!!! а меня сегодня вы просто заблокировали! ! как так то? и повторно я его скачать не могу! и пишет что устройство заблокировано! Даааа
95;	5;	1;	почему когда я пытаюсь загрузить игру , мне пишет устройство заблокировано Реконнент
96;	2;	1;	Ставлю двойку... Не интересно скучно очень-очень долго всего ждать. Да и не так как в рекламе ну а так в целом нормально…
97;	4;	1;	После последнего обновления играть стало невозможно. Все время выбивает. Исправте пожалуйста. А так игра норм. Особенно мне нравиться кухня. Там столько можно заработать_
98;	5;	1;	хорошая игра,мне очень понравилась,живое общение и увлеченность ростом персонажа -это помогает убить свободное время,отвлечься!
99;	4;	1;	Игра хорошая. Однако есть одно "но", из-за которого я игре снижаю оценку: она не соответствует рекламе! И реклама привлекает в игру людей, которым "стратегия" не сдалась, они ищут другое. Интерактивную историю, например, или банальный симулятор свиданий. По рекламе можно ожидать данные жанры... А что из этих ожиданий оправдывается? Ни-че-го!
100;	5;	0;	Доброго времени суток, хотелось бы узнать, требуются ли вам ещё бета тестеры игры?
101;	5;	1;	доработайте хотя б флажки в альянсах , многие игроки с Казахстана и СНГ , почему я не могу создать ал с нашим флагом? потом если вступаешь в ал идет рассмотрение (надо что б была кнопка отмены) передумал, долго рассматривают , отменил вступление . А еще мало разнообразия , акции не спасают от скучного гимплея , если хотите узнать мнение или предложение , пишите на эту почту
102;	1;	1;	Отлично! Прошлый отзыв мой был благополучно удалён! Так вот я буду каждый день писать вам, козлы! Поставила 5 свитков на "умопомрачительную" межсерверную битву, а по итогу не получила никакой компенсации! Просто топ! Не скачивайте игру, ребята, потому что разработчики не ценят вас, даже, если вы тратите много много денег на игру... Обещали компенсации за свои косяки для всех участников межсерверной битвы, а по итогу возврат сделали только 1/3. Остальных бортанули! Спасибо
103;	4;	1;	Пожалуйста измените наложницу Дафна она выглядит просто ужасно и мы уже столько играем можно было бы и добавить новых наложницу которых можно получить на прогулке или хотя-бы новых наследников
104;	3;	1;	Как я поняла, то вы отгавариваетесь всего лишь двумя словами: Добрый день. Конпенсации согласно потрачиным ресурсам были отправлены на почту. Спасибо за поддержку. Так вот я потому же адресу. Я со своим альянсом перешла на новую битву как что то произошло и вы в итоге ничего не конпесировали, ну я задонатилась и опять произошёл какой то баг из за которого у меня пропали все. Я написала в техподдержку и в итоге мне нечего не конпенсировали! И вот только попробуйте отговориться что все на почте!!!
105;	1;	1;	Просто свинское отношение к игрокам! ивенты добавляют и убирают без предупреждения, все обновы сырые с кучей недоделок и багов. Жалею о потраченных деньгах и времени.
106;	2;	1;	нехватет вещи, чтобы сбрасывать обаяние и близость у наложенницы. допустим за 500 алмазов карта, которая сбросит 200 обаяния и 200 близости и вернет в виде серьги и прочего. ибо многих наложенниц прокочала, все дети высокие и кольца не уходят. рейтинг опыта наложенниц - бесполезная хрень. лучше бы сделали рейтинг опыта эвентов. хотя бы мотивировали заходить. великая битва та еще хрень. банкеты бы снова ограничили, а то никогда так не накопишь. сделайте чтоб в флоте было видно когда заходил игрок.
107;	5;	1;	Здравствуйте, дорогие разработчики, спасибо вам за эту игру, она реально клёвая.Я хотела спросить, мне купили новый телефон попыталась скачать игру и забить тоже имя, что у меня в моей игре, но у меня все равно началась новая игра, что делать? Я не хочу бросать старую игру, так как хорошо прокачалась. Заранее спасибо
108;	1;	0;	создайте сервер только для донатеров пусть там письками меряются, либо сервак где нет доната, хоть один. вся игра лишь для того что бы бабки высасать
109;	3;	1;	терпеть не могу игры, где первые 5 минут я не согу сделать ничего, крме как тыкать туда, куда показывает мне "учитель". я даже мызыку лишнюю оиключить не могу, просто потому что вы решили, что мне и так норм. снесла сразу, как поставила
110;	1;	0; скачала только чтобы написать как меня бесит ваша реклама с этими убогими звуками!!!!! кто вообще играет в эти картинки?!!!!! создатели великие умы
111;	5;	0; Приветвсеммиретелефоншколуальбомнизоченьоеопипгтрщмепакт
112;	1;	0;	Не качайте этот шлак !!!
113;	1;	1;	Подача игры - лютый бред! Вы хоть следите за рекламой? ВЕЗДЕ ОНА! Но черт бы с ней, но в ней просто позорные ошибки.
114;	1;	0;	фу какая игра отвратителная я толка начила и тут игра сама сабой выключается уже 5 раз кто создол эту тупую игру эта игра проста тупое отвротителное если не умеете создавать игры то и не создавай юте льжытсый придурки говнюки фу
115;	1;	0;	не очень!
116;	5;	0;	Я не знаю как саве сказать что я его люблю
117;	1;	0;	Может вы мне ответите?
118;	1;	1;	Ввели Дворцовую кухню, где котел заканчивает свою готовку в полночь по времени Москвы. Уважаемые разработчики, у нас существует не только часовой пояс с московским временем, но и другие часовые пояса, где полночь Москвы равна другому времени суток, например, как у меня, середина ночи. Я вложила алмазы, чтоб получить больше наград с этого котла, а что в итоге? Акция котла закончилась и все, не успел за 5 минут? Твои проблемы. Ни наград, ничего ты уже не получишь. Исправляйте и компенсируйте.
119;	5;	0;	Игра,супер!!)
120;	5;	0;	советую всем
121;	4;	0;	просто вау
122;	3;	0; Игра так себе я смог завести лишь одну девушку
123;	1;	0;	ужас это скучно и нудно
124;	1;	1;	Игра становиться все хуже, нововведения не ориентированы на игроков и убивают атмосферу игры. Великое сражение, Дворцовая кухня вызвали шквал негодования и аргументированного недовольства. А руководство паблика во вконтакте просто проявляет пассивную агрессию и предпочитает не замечать негативных отзывов.
125;	1;	0;	Игра для даунав адним словом д*****
126;	5;	0;	мне нравится это игра!!!!!
127;	3;	0;	Сулейман султан
128;	1;	0;вообще не понравился
129;	5;	0;	Класная игра всем советую
130;	1;	0;	донат и не более смысла нет играть
131;	1;	0;	не стоит времени
132;	3;	0;	Чем дальше, тем больше нужен донат(
133;	1;	0;	Такая крутая игра!
134;	1;	0;	Полная дрянь.
135;	3;	0; Хотелось спи**ануть что то этакое, да тут за меня уже все высказали
136;	3;	0;	И это для маленьких детей. До вас не докатывает что вся реклама сделана В сексуальном характере 16 +
137;	1;	0;	донат
138;	2;	1;	Задумка игры неплохая! Но баги и зависания портят все впечатление! Поддержка вообще шлак! Влил в акцию кучу алмазов а она не только не соответствует описанию но и не работает в принципе, в поддержку обращаться нет смысла игнорят.
139;	5;	0;	но дорого!) хотя можно и без доната)
140;	1;	0;	тупая игра
141;	1;	0; ваще не кончает
142;	1;	0; я нивига нэ панимаю што прийсходит???!??!!
143;	1;	0;	Им лучше не платить. Играйте бесплатно
144;	1;	0;	ЛОХОТРОН" РАЗРОБОТЧИК!!!! МОЖНО БЫЛО БЫ ПОСТАВИТЬ НОЛЬ ЗВЕЗД ПОСТАВИЛА БЫ!!!! ЖЕРЬМО
145;	1;	1;	Не, ну я так не играю! Реклама наводит на мысль о том, что целый день будешь по дворцу шляться и наложниц брюхахить. А тут на войну сходи, денег своих за скилзы отдай. Хрен дождётесь!!!
146;	1;	0;	У нас жена за такое убивает! Лиза г.Кривой Рог
147;	5;	0;	Мне игра понравилась и Храм любви
148;	1;	0;	Без доната делать нечего
149;	1;	0;	где пушка с призами?
150;	5;	0;	игра огонь, затягивает
151;	5;	0;	я в восторге! очень довольна!
152;	1;	0;	Самая тупая игра, если вы одноклеточный однозначно рекомендую!!!
153;	1;	0;	Ужасная игра !не скачивайте пустая трата времени .
154;	1;	0;	скучновато что то
155;	5;	0;	крутое приложение. Очееень!
156;	5;	0;	это придожение. прелесть ставлю. 5. балов
157;	1;	0;	мне нравится больше сказать не чего.
158;	1;	0;	Мне не понравилось
159;	5;	0;	Топ игра про османскую империю
160;	4;	1;	В последнее время игра начала часто вылетать. Играешь себе, никому не мешаешь (у тебя есть все бустеры), и тут просто закрывается игра. При следующем входе уровень начинается заново, а бустеров уже нет. Исправьте, пожалуйста, этот недостаток. И всё будет прекрасно.)
161;	2;	1;	Недовольна последним обновлением. Союзов нет. Зачем-то опять изменили прием жизней от друзей. Я не всегда хочу принимать сразу 5 !!! Иногда до автоматического восстановления остается 2 минуты, иногда победа приносит бесконечные жизни... Верните, пожалуйста, возможность принимать жизни по одной! Или пусть бесконечные жизни не включаются автоматически!
162;	1;	1;	Игра супер!!!!! очень нравится, восстановленные участки очень красивые, каждый участок радует своим изяществом, красотой. Даже думать не хочу, что эта удивительная игра когда то закончится. Спасибо за доставляемое удовольствие, все нравится, даже самый тяжёлый уровень сначала бесит, а потом такое облегчение когда он наконец то покоряется. Спасибо вам.
163;	1;	1;	Что изменилось после обновления????Да ничего по факту,как не проходились уровни так и не проходятся, только надо вкладывать денежки и всё,я и так уже потратила деньги, теперь хотят чтобы каждый непройденный уровень оплачивался! Как и многие прохожу уровни по 3 дня, терпение на исходе,жалко удалять так как почти 800 уровень,но видимо придется __обратите внимание на требования игроков,зажрались совсем!!!!!
164;	5;	1; Игра супер, но много сложных уровней и мало жизней. Ходов тоже маловато дается в сложных уровнях. Иногда не хватает всего одного хода, очень обидно. Можно давать дополнительные ходы, например за просмотр видео. Хочется быстрей строить сад, а приходится пол дня проходить один и тот же уровень. Надоедает и пропадает интерес играть.
165;	1;	1;	Слишком сложные уровни стали, бесит, наверное удалю, уже надоело. Один уровень можно по 2 дня мутузить, бесполезно, тренировки собаки ушли практически, короче гамно какое-то началось отписка
166;	5;	1;	Залипла. Достаточно сложно что бы было интересно и посильно. Играю с удоволсьвием. Хотелось бы ночной режим, что бы хоть увидеть как горят фонари по ночам, прогулку по ночному саду, и возможность находится в саду с другого ракурса.
167;	1;	0;	донатить на тетрис, пусть и красивый? нет уж-не дождетесь! а именно этого игра и требует почти с первых уровней(сейф например). на денек убить время пойдет. за вымагательство ставлю 1*
168;	5;	0;	Отличная игра. Затягивает. Графика__. Один минус, лично для меня, сообщество и остальные преимущества только через Фейсбук. Я там не зарегистрирована
169;	3;	1;	Это катастрофа!!! Разработчики!!! Сделайте что-нибудь, чтобы игра не вылетала постоянно!!! Обидно, когда набрал много бустеров, доиграл уровень до последнего хода - появилось сообщение "Все задания выполнены!" и бац! игра вылетает. И ты заново начинаешь уровень, но уже без бустеров!!! А после сегодняшнего обновления игра вылетает даже не доиграв до последнего хода!! Просто п...ц!!!
170;	4;	1;	у меня не получается посмотреть, чем занимается Остин, когда я не играю и, следовательно, я не получаю вознаграждение. ((((( Некоторые уровни практически невозможно пройти без бустеров и, если ты их не имеешь, то это тупик(((
171;	4;	1;	очень нравится,но если б не задания,такие как покормить собаку или достать вертолет,или найти шляпу,или,например,полив цветка несколько раз и за каждый полив две звезды,а еще у меня бесконечность жизни было аж на девять с половиной часов,я не могу столько без перерыва играть,сделали бы чтоб их оставлять,а потом знаешь,что 30 мин. или 2 часа сможешь играть и выбираешь,ты же все равно их выиграл,а так они сгорают((
172;	3;	1;	я если честно в шоке!!!не давно игра вылетела и началась с нуля((, я была на 1800 уровне!!!пыталась удалить и скачать заново,раз 5!!!!!! игра до этой ситуации была просто бомба!обидно верните игру с того момента с какого я остановилась!!!! а то как то за год что я играла заново не охота начинать!!!!!
173;	5;	1;	Классная игра, но иногда попадается уровень который по несколько дней приходишь. Новое обновление интересное, игра более красочная стала.
174;	5;	1;	Игра хорошая,интересная,только я уже третий день не могу починить источник,,
175;	4;	1;	интересная игра. но хотелось бы использовать дополнительное время в удобное для игрока время.
176;	2;	1;	Раньше игра приносила удовольствие и уровни можно было пройти опираясь на опыт и умения! Теперь каждый день нужно тратить время, чтобы соревноваться в состязаниях. На одном уровне можно застрять на пару дней, т.к. игра умышленно не даёт его пройти. Но стоит купить моменты или ещё какой пакет - всё начинает складываться и проходиться само собой. Разочарование.
177;	1;	0;	до 25 уровня все хорошо. а потом покупай
178;	1;	0;	туфта галимая
179;	5;	1;	Мне нравится, локаций много, красивая графика. Если сравнивать с другими играми жизни восстанавливается быстро. Цены на дополнительные услуги адекватные.
180;	4;	1;	Игра хороша , но могли бы добавить ходов на уровни , т.к прям очевидно не хватает хода и тебя вынуждают тратить, либо золото, либо бустеры, либо жизни, т.е сводится к донату , 2-3 дня на 1 уровне такое себе, поэтому 4.
181;	5;	1;	269 уровень вобше не пройти уже неделю пытаюсь
182;	1;	1;	На уровнях 3000 и выше теперь невозможно вырастить цветок (проходятся несколько уровней из 20), сундуки и шляпы не открываются т.к. после каждого пройденного уровня проигрыш, в соревновании урожай, яблоки не соберешь, поэтому и бустеров нет, в соревновании пройди уровень с первого раза тоже самое (10 уровней это много), придумали какие то союзы, для чего обмениваться жизнями, если уровни не проходятся, ничего толкового с каждым обновлением не появляется, мнение и пожелания игроков не учитывается
183;	3;	1;	Персонажи очень много общаются между собой это немного раздражает и почему у Вас очень частые обновления засоряет память телефона а так игра очень даже классная.
184;	4;	0;	Видео не соответствует тому что действительно в игре, и сложная, детям не подойдёт…
185;	3;	1;	Авторы предлагают тематические украшения к праздникам. Мило, но праздники проходят, а декор остается. До сих пор не могу избавиться от Новогодних украшений и елки.
186;	1;	1;	игра слишком пересложнена, необоснованная сложность прхождения многих уровней. в процессе прохождения не отдыхаеш а напрягаешся.
187;	3;	1;	пропал цветок для оранжереи, появляется в событиях, что появится через определённое время, но потом пропадает
188;	2;	1;	Не дают пройти сложные уровни, в частности 77!только пройден один уровень, застреваешь на другом, 82!!!опять не пройти, на этот раз 88 уровень, ну сколько можно!!!опять ступор на 91 уровне, пройти не возможно, 100 попыток уже было!это кошмар, ходов в 2 раза меньше, чем необходимо, сами попробуйте пройти, умники!!!!!что за ерунда??????25 ходов, а собрать 30 кристаллов, это нереально!!!!!!ни черта вам не жаль!
189;	5;	1;	Здравствуйте, это просто кошмар. С каждым обновлением все хуже и хуже, невозможно играть, на одном уровне сидишь по три дня. Уважаемые разработчики, игра должна приносить удовольствие, а не раздражать.
190;	2;	1;	Не дают пройти сложные уровни, в частности 77!только пройден один уровень, застреваешь на другом, 82!!!опять не пройти, на этот раз 88 уровень, ну сколько можно!!!опять ступор на 91 уровне, пройти не возможно, 100 попыток уже было!это кошмар, ходов в 2 раза меньше, чем необходимо, сами попробуйте пройти, умники!!!!!что за ерунда??????25 ходов, а собрать 30 кристаллов, это нереально!!!!!!ни черта вам не жаль!
191;	5;	1;	интересная игра. спокойная . ни как ферма . в которой сажаежь или кормишь животных по времени. тут все просто поиграл. устал и без заботно вышел из игры. и отдыхаешь
192;	1;	1;	играю все реже и реже. на уровне +2500 выиграть в конкурсе практически невозможно, поэтому бустеры достаются очень сложно. и вот сегодня впервые за год!!! выпал джек пот. однако, когда зашла в игру через полчаса ни бустеров, ни времени, ни колеса удачи не оказалось. интересно, что бустеры только пропадают, но никогда "случайно" не добавляются. чем дальше, тем меньше интереса играть. а так хорошо все начиналось (играю почти 3 года). жаль, игра красивая, но слишком много неприятных моментов
